"Record ID","About Us","Annual Revenue","Campaign of last booking in meetings tool","City","Close Date","Company Domain Name","Company Keywords","Company name","Company owner","Country/Region","Country/Region Code","Create Date","Created by user ID","Current Customer","Date of last meeting booked in meetings tool","Days to Close","Demo Company ID","Demo Created Date","Description","Domain status","Employee range","Facebook Company Page","Facebook Fans","First Contact Create Date","First Conversion","First Conversion Date","First Deal Created Date","First Touch Converting Campaign","Google Plus Page","GTM Industry","Has been enriched","HubSpot Team","ICP Fit","Ideal Customer Profile Tier","Industry","Industry group","Intent Signals active","Is Public","Last Activity Date","Last Booked Meeting Date","Last Contacted","Last Engagement Date","Last Logged Call Date","Last Logged Outgoing Email Date","Last Modified Date","Last Open Task Date","Last Touch Converting Campaign","Latest suggested contact date","Latest Suggested Contact Timestamp","Latest Traffic Source","Latest Traffic Source Data 1","Latest Traffic Source Data 2","Latest Traffic Source Timestamp","Lead Status","Lifecycle Stage","LinkedIn Bio","LinkedIn Company Page","Linkedin handle","Logo URL","Max recommendation score","Medium of last booking in meetings tool","Merged Company IDs","Next Activity Date","Next Renewal Date","Number of Active Contracts","Number of Associated Contacts","Number of Associated Deals","Number of blockers","Number of child companies","Number of contacts with a buying role","Number of decision makers","Number of Employees","Number of Form Submissions","Number of open deals","Number of Pageviews","Number of Sessions","Number of times contacted","Original Traffic Source","Original Traffic Source Drill-Down 1","Original Traffic Source Drill-Down 2","Owner assigned date","Parent Company","Phone Number","Plays","Postal Code","Potential Pain Point","Quick context","Reason To Reach Out","Recent Conversion","Recent Conversion Date","Recent Deal Amount","Recent Deal Close Date","Recent Intent Signals","Record source","Record source detail 1","Record source detail 2","Record source detail 3","Redirect domain","Redirect URL","Revenue Band","Revenue range","Source of last booking in meetings tool","State/Region","State/Region Code","Street Address","Street Address 2","Suggested Contact Count","Target Account","Time First Seen","Time Last Seen","Time of First Session","Time of Last Session","Time Zone","Total Money Raised","Total open deal value","Total Revenue","Twitter Bio","Twitter Followers","Twitter Handle","Type","Updated by user ID","Web Technologies","Website URL","Year Founded","Additional Domains"
"445777005777","","","","London","","vitainsights.example.com","","VitaInsights","","United Kingdom","","2026-09-02 03:58","","","","","COMP-060","2026-04-30","VitaInsights develops products and services for organizations working in health analytics.","","","","","","","","","","","Health Analytics","","","High","","","","","","","","","","","","2026-09-02 03:58","","","","","","","","","","Lead","","","","","","","","","","0.0","0.0","","0.0","0.0","0.0","0.0","400.0","","0.0","","","","","","","","","","","","Limited visibility into customer journeys","","","","","","","","Integration","AI GTM Command Center","","","","","€10M–€50M","","","","","","","","","","","","","","","","","","","","","","","vitainsights.example.com","",""
"445777005776","","","","Amsterdam","","vitahealth.example.com","","VitaHealth","","Netherlands","","2026-09-02 03:58","","","","","COMP-059","2025-11-26","VitaHealth develops products and services for organizations working in pharmaceuticals.","","","","","2026-09-02 03:58","","","2026-09-02 03:58","","","Pharmaceuticals","","","Medium","","","","","","","","","","","","2026-09-02 04:06","","","","","Offline Sources","INTEGRATION","AI GTM Command Center","2026-09-02 03:58","","Opportunity","","","","","","","","","","0.0","2.0","1.0","0.0","0.0","0.0","0.0","250.0","","1.0","0.0","0.0","","Offline Sources","INTEGRATION","AI GTM Command Center","","","","","","Time-consuming research workflows","","","","","","","","Integration","AI GTM Command Center","","","","","€10M–€50M","","","","","","","","","2026-09-02 03:58","","","","","","22000.0","","","","","","","","vitahealth.example.com","",""
"445777005775","","","","Hamburg","","vitabio.example.com","","VitaBio","","Germany","","2026-09-02 03:58","","","","","COMP-058","2025-11-08","VitaBio develops products and services for organizations working in medical devices.","","","","","2026-09-02 03:58","","","","","","Medical Devices","","","Medium","","","","","","","","","","","","2026-09-02 04:14","","","","","Offline Sources","INTEGRATION","AI GTM Command Center","2026-09-02 03:58","","Lead","","","","","","","","","","0.0","1.0","","0.0","0.0","0.0","0.0","250.0","","0.0","0.0","0.0","","Offline Sources","INTEGRATION","AI GTM Command Center","","","","","","Time-consuming research workflows","","","","","","","","Integration","AI GTM Command Center","","","","","€10M–€50M","","","","","","","","","2026-09-02 03:58","","","","","","","","","","","","","","vitabio.example.com","",""
"445777005774","","","","Paris","","vitaanalytics.example.com","","VitaAnalytics","","France","","2026-09-02 03:58","","","","","COMP-057","2026-01-24","VitaAnalytics develops products and services for organizations working in medical devices.","","","","","2026-09-02 03:58","","","","","","Medical Devices","","","High","","","","","","","","","","","","2026-09-02 03:59","","","","","Offline Sources","INTEGRATION","AI GTM Command Center","2026-09-02 03:58","","Lead","","","","","","","","","","0.0","1.0","","0.0","0.0","0.0","0.0","650.0","","0.0","0.0","0.0","","Offline Sources","INTEGRATION","AI GTM Command Center","","","","","","Manual commercial reporting","","","","","","","","Integration","AI GTM Command Center","","","","","€50M–€100M","","","","","","","","","2026-09-02 03:58","","","","","","","","","","","","","","vitaanalytics.example.com","",""
"445777005773","","","","Munich","","theraresearch.example.com","","TheraResearch","","Germany","","2026-09-02 03:58","","","","","COMP-056","2025-12-01","TheraResearch develops products and services for organizations working in medical devices.","","","","","2026-09-02 03:58","","","2026-09-02 03:58","","","Medical Devices","","","Medium","","","","","","","","","","","","2026-09-02 04:14","","","","","Offline Sources","INTEGRATION","AI GTM Command Center","2026-09-02 03:58","","Opportunity","","","","","","","","","","0.0","2.0","1.0","0.0","0.0","0.0","0.0","650.0","","1.0","0.0","0.0","","Offline Sources","INTEGRATION","AI GTM Command Center","","","","","","Slow identification of market needs","","","","","","","","Integration","AI GTM Command Center","","","","","€50M–€100M","","","","","","","","","2026-09-02 03:58","","","","","","15000.0","","","","","","","","theraresearch.example.com","",""
"445777005772","","","","Rotterdam","","therainsights.example.com","","TheraInsights","","Netherlands","","2026-09-02 03:58","","","","","COMP-055","2025-11-18","TheraInsights develops products and services for organizations working in clinical research.","","","","","2026-09-02 03:58","","","2026-09-02 03:58","","","Clinical Research","","","Low","","","","","","","","","","","","2026-09-02 03:59","","","","","Offline Sources","INTEGRATION","AI GTM Command Center","2026-09-02 03:58","","Opportunity","","","","","","","","","","0.0","2.0","1.0","0.0","0.0","0.0","0.0","40.0","","1.0","0.0","0.0","","Offline Sources","INTEGRATION","AI GTM Command Center","","","","","","Limited visibility into customer journeys","","","","","","","","Integration","AI GTM Command Center","","","","","€1M–€10M","","","","","","","","","2026-09-02 03:58","","","","","","22000.0","","","","","","","","therainsights.example.com","",""
"445777005771","","","","Paris","","therahealth.example.com","","TheraHealth","","France","","2026-09-02 03:58","","","","","COMP-054","2025-07-21","TheraHealth develops products and services for organizations working in healthcare technology.","","","","","2026-09-02 03:58","","","","","","Healthcare Technology","","","Medium","","","","","","","","","","","","2026-09-02 03:59","","","","","Offline Sources","INTEGRATION","AI GTM Command Center","2026-09-02 03:58","","Lead","","","","","","","","","","0.0","4.0","","0.0","0.0","0.0","0.0","650.0","","0.0","0.0","0.0","","Offline Sources","INTEGRATION","AI GTM Command Center","","","","","","Time-consuming research workflows","","","","","","","","Integration","AI GTM Command Center","","","","","€50M–€100M","","","","","","","","","2026-09-02 03:58","","","","","","","","","","","","","","therahealth.example.com","",""
"445777005770","","","","Paris","","theracare.example.com","","TheraCare","","France","","2026-09-02 03:58","","","","","COMP-053","2025-02-15","TheraCare develops products and services for organizations working in life sciences.","","","","","2026-09-02 03:58","","","","","","Life Sciences","","","High","","","","","","","","","","","","2026-09-02 03:59","","","","","Offline Sources","INTEGRATION","AI GTM Command Center","2026-09-02 03:58","","Lead","","","","","","","","","","0.0","2.0","","0.0","0.0","0.0","0.0","250.0","","0.0","0.0","0.0","","Offline Sources","INTEGRATION","AI GTM Command Center","","","","","","Time-consuming research workflows","","","","","","","","Integration","AI GTM Command Center","","","","","€10M–€50M","","","","","","","","","2026-09-02 03:58","","","","","","","","","","","","","","theracare.example.com","",""
"445777005769","","","","Berlin","","pulselabs.example.com","","PulseLabs","","Germany","","2026-09-02 03:58","","","","","COMP-052","2025-11-18","PulseLabs develops products and services for organizations working in life sciences.","","","","","","","","","","","Life Sciences","","","High","","","","","","","","","","","","2026-09-02 03:58","","","","","","","","","","Lead","","","","","","","","","","0.0","0.0","","0.0","0.0","0.0","0.0","900.0","","0.0","","","","","","","","","","","","Scattered customer intelligence","","","","","","","","Integration","AI GTM Command Center","","","","","€50M–€100M","","","","","","","","","","","","","","","","","","","","","","","pulselabs.example.com","",""
"445777005768","","","","Rotterdam","","pulsebio.example.com","","PulseBio","","Netherlands","","2026-09-02 03:58","","","","","COMP-051","2025-09-29","PulseBio develops products and services for organizations working in healthcare technology.","","","","","2026-09-02 03:58","","","2026-09-02 03:58","","","Healthcare Technology","","","High","","","","","","","","","","","","2026-09-02 04:06","","","","","Offline Sources","INTEGRATION","AI GTM Command Center","2026-09-02 03:58","","Opportunity","","","","","","","","","","0.0","3.0","1.0","0.0","0.0","0.0","0.0","40.0","","1.0","0.0","0.0","","Offline Sources","INTEGRATION","AI GTM Command Center","","","","","","Slow identification of market needs","","","","","","","","Integration","AI GTM Command Center","","","","","€1M–€10M","","","","","","","","","2026-09-02 03:58","","","","","","7500.0","","","","","","","","pulsebio.example.com","",""
