"Last Activity";"Account Owner";"Account Name";"Type";"Website";"Billing Country";"Industry";"Employees";"Account Source";"Created Date"
"";"Automated Process";"Sample Account for Entitlements";"";"";"";"";"";"";"10.08.2026"
"";"Soroush Mozooni";"Meridian Freight B.V.";"Customer";"meridianfreight.nl";"Netherlands";"Transportation";"210";"";"14.08.2026"
"";"Soroush Mozooni";"Meridian Freight Ltd";"Customer";"meridianfreight.co.uk";"United Kingdom";"Transportation";"85";"";"14.08.2026"
"";"Soroush Mozooni";"Halden Retail";"Customer";"haldenretail.nl";"Netherlands";"Retail";"120";"";"14.08.2026"
"";"Soroush Mozooni";"Halden Retail Group B.V.";"Prospect";"www.haldenretail.nl/";"Netherlands";"";"";"";"14.08.2026"
"";"Soroush Mozooni";"Kestrel Digital GmbH";"Prospect";"kestrel-digital.de";"Germany";"Technology";"64";"";"14.08.2026"
"";"Soroush Mozooni";"Kestrel Digital";"Prospect";"http://kestrel-digital.de";"Germany";"Technology";"";"";"14.08.2026"
"";"Soroush Mozooni";"Nordvik Retail AB";"Customer";"nordvik-retail.se";"Sweden";"Retail";"340";"";"14.08.2026"
"";"Soroush Mozooni";"Nordvik Logistics AB";"Customer";"nordvik-logistics.se";"Sweden";"Transportation";"95";"";"14.08.2026"
"";"Soroush Mozooni";"Pemberton Logistics GmbH";"Customer";"pemberton-logistics.de";"Germany";"Transportation";"130";"";"14.08.2026"
"";"Soroush Mozooni";"Kirkwall Logistics SAS";"Customer";"kirkwall-logistics.fr";"France";"Hospitality";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Drakeford Ventures SARL";"Prospect";"drakeford-ventures.fr";"France";"Technology";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Lindholm Trading S.A.";"Prospect";"lindholm-trading.es";"Spain";"Manufacturing";"130";"";"14.08.2026"
"";"Soroush Mozooni";"Duskmoor Group AG";"Customer";"duskmoor-group.de";"Germany";"Retail";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Yarrowfield Commerce GmbH";"Prospect";"";"Germany";"Technology";"";"";"14.08.2026"
"";"Soroush Mozooni";"Marchmont Digital S.L.";"Prospect";"marchmont-digital..es";"Spain";"Transportation";"80";"";"14.08.2026"
"";"Soroush Mozooni";"Ironvale Group GmbH";"Prospect";"ironvale-group.de";"Germany";"Retail";"780";"";"14.08.2026"
"";"Soroush Mozooni";"Eastvale Logistics NV";"Prospect";"eastvale-logistics.be";"Belgium";"Manufacturing";"260";"";"14.08.2026"
"";"Soroush Mozooni";"Cobblestone Systems B.V.";"Customer";"";"Netherlands";"Hospitality";"24";"";"14.08.2026"
"";"Soroush Mozooni";"Silverbeck Commerce S.A.";"Prospect";"silverbeck-commerce.es";"Spain";"Technology";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Ravensworth Ventures Sp. z o.o.";"Customer";"ravensworth-ventures.pl";"Poland";"Transportation";"45";"";"14.08.2026"
"";"Soroush Mozooni";"Vandergrift Solutions B.V.";"Prospect";"vandergrift-solutions.nl";"Netherlands";"Transportation";"12";"";"14.08.2026"
